Week,popIndex
,14
10/27/2013,34
11/3/2013,32
11/10/2013,33
11/17/2013,75
11/24/2013,91
12/1/2013,85
12/8/2013,62
12/15/2013,62
12/22/2013,43
12/29/2013,36
1/5/2014,39
1/12/2014,41
1/19/2014,42
1/26/2014,45
2/2/2014,37
2/9/2014,40
2/16/2014,34
2/23/2014,65
3/2/2014,48
3/9/2014,27
3/16/2014,25
3/23/2014,24
3/30/2014,21
4/6/2014,19
4/13/2014,18
4/20/2014,15
4/27/2014,13
5/4/2014,15
5/11/2014,13
5/18/2014,16
5/25/2014,16
6/1/2014,15
6/8/2014,15
6/15/2014,16
6/22/2014,13
6/29/2014,13
7/6/2014,14
7/13/2014,14
7/20/2014,12
7/27/2014,13
8/3/2014,13
8/10/2014,15
8/17/2014,14
8/24/2014,13
8/31/2014,15
9/7/2014,15
9/14/2014,14
9/21/2014,14
9/28/2014,13
10/5/2014,15
10/12/2014,13
10/19/2014,14
10/26/2014,12
11/2/2014,13
11/9/2014,14
11/16/2014,12
11/23/2014,11
11/30/2014,14
12/7/2014,13
12/14/2014,12
12/21/2014,14
12/28/2014,12
1/4/2015,13
1/11/2015,13
1/18/2015,13
1/25/2015,12
2/1/2015,12
2/8/2015,13
2/15/2015,14
2/22/2015,12
3/1/2015,13
3/8/2015,14
3/15/2015,12
3/22/2015,12
3/29/2015,11
4/5/2015,11
4/12/2015,11
4/19/2015,11
4/26/2015,10
5/3/2015,10
5/10/2015,10
5/17/2015,11
5/24/2015,11
5/31/2015,11
6/7/2015,10
6/14/2015,13
6/21/2015,10
6/28/2015,11
7/5/2015,14
7/12/2015,12
7/19/2015,11
7/26/2015,13
8/2/2015,13
8/9/2015,10
8/16/2015,12
8/23/2015,12
8/30/2015,12
9/6/2015,10
9/13/2015,12
9/20/2015,11
9/27/2015,12
10/4/2015,11
10/11/2015,10
10/18/2015,11
10/25/2015,13
11/1/2015,19
11/8/2015,14
11/15/2015,13
11/22/2015,13
11/29/2015,13
12/6/2015,19
12/13/2015,14
12/20/2015,13
12/27/2015,13
1/3/2016,14
1/10/2016,14
1/17/2016,14
1/24/2016,12
1/31/2016,13
2/7/2016,12
2/14/2016,16
2/21/2016,13
2/28/2016,14
3/6/2016,13
3/13/2016,14
3/20/2016,13
3/27/2016,12
4/3/2016,12
4/10/2016,13
4/17/2016,13
4/24/2016,14
5/1/2016,21
5/8/2016,14
5/15/2016,13
5/22/2016,12
5/29/2016,16
6/5/2016,13
6/12/2016,17
6/19/2016,19
6/26/2016,16
7/3/2016,14
7/10/2016,14
7/17/2016,12
7/24/2016,14
7/31/2016,17
8/7/2016,11
8/14/2016,12
8/21/2016,12
8/28/2016,12
9/4/2016,13
9/11/2016,16
9/18/2016,13
9/25/2016,14
10/2/2016,15
10/9/2016,15
10/16/2016,14
10/23/2016,16
10/30/2016,17
11/6/2016,21
11/13/2016,19
11/20/2016,16
11/27/2016,18
12/4/2016,18
12/11/2016,19
12/18/2016,19
12/25/2016,21
1/1/2017,30
1/8/2017,26
1/15/2017,20
1/22/2017,20
1/29/2017,20
2/5/2017,20
2/12/2017,18
2/19/2017,22
2/26/2017,27
3/5/2017,27
3/12/2017,23
3/19/2017,24
3/26/2017,21
4/2/2017,23
4/9/2017,20
4/16/2017,22
4/23/2017,21
4/30/2017,27
5/7/2017,36
5/14/2017,55
5/21/2017,80
5/28/2017,49
6/4/2017,48
6/11/2017,50
6/18/2017,42
6/25/2017,45
7/2/2017,38
7/9/2017,41
7/16/2017,44
7/23/2017,40
7/30/2017,50
8/6/2017,54
8/13/2017,68
8/20/2017,62
8/27/2017,61
9/3/2017,65
9/10/2017,69
9/17/2017,55
9/24/2017,44
10/1/2017,43
10/8/2017,64
10/15/2017,68
10/22/2017,67
10/29/2017,90
11/5/2017,92
11/12/2017,100
