Week,popIndex
2017-07-23,2
2017-07-24,3
2017-07-25,6
2017-07-26,6
2017-07-27,6
2017-07-28,16
2017-07-29,12
2017-07-30,12
2017-07-31,19
2017-08-01,77
2017-08-02,100
2017-08-03,51
2017-08-04,40
2017-08-05,32
2017-08-06,20
2017-08-07,25
2017-08-08,20
2017-08-09,13
2017-08-10,12
2017-08-11,11
2017-08-12,12
2017-08-13,13
2017-08-14,15
2017-08-15,10
2017-08-16,8
2017-08-17,13
2017-08-18,36
2017-08-19,45
2017-08-20,31
2017-08-21,23
2017-08-22,18
2017-08-23,14
2017-08-24,12
2017-08-25,12
2017-08-26,8
2017-08-27,9
2017-08-28,8
2017-08-29,10
2017-08-30,10
2017-08-31,9
2017-09-01,8
2017-09-02,7
2017-09-03,6
2017-09-04,6
2017-09-05,6
2017-09-06,6
2017-09-07,7
2017-09-08,6
2017-09-09,4
2017-09-10,4
2017-09-11,4
2017-09-12,4
2017-09-13,5
2017-09-14,5
2017-09-15,5
2017-09-16,4
2017-09-17,3
2017-09-18,4
2017-09-19,4
2017-09-20,5
2017-09-21,5
2017-09-22,4
2017-09-23,3
2017-09-24,3
2017-09-25,3
2017-09-26,3
2017-09-27,5
2017-09-28,5
2017-09-29,4
2017-09-30,4
2017-10-01,5
2017-10-02,4
2017-10-03,4
2017-10-04,4
2017-10-05,5
2017-10-06,4
2017-10-07,4
2017-10-08,6
2017-10-09,6
2017-10-10,6
2017-10-11,6
2017-10-12,8
2017-10-13,9
2017-10-14,6
2017-10-15,6
2017-10-16,5
2017-10-17,9
2017-10-18,8
2017-10-19,6
2017-10-20,6
2017-10-21,7
2017-10-22,6
2017-10-23,6
2017-10-24,8
2017-10-25,6
2017-10-26,6
2017-10-27,6
2017-10-28,7
2017-10-29,13
2017-10-30,8
2017-10-31,7
2017-11-01,11
2017-11-02,18
2017-11-03,20
2017-11-04,13
2017-11-05,12
2017-11-06,10
2017-11-07,9
