Date,Open,High,Low,Close,Volume,Market_Cap
7-Nov-17,602.68,626.21,602.45,616.3,"375,367,000","10,105,200,000"
6-Nov-17,630.31,657.34,602.65,602.65,"794,105,000","10,566,600,000"
5-Nov-17,619.91,635.72,579.13,630.7,"816,028,000","10,390,900,000"
4-Nov-17,635.35,642.05,571.12,620.45,"1,161,370,000","10,647,200,000"
3-Nov-17,587.32,684.53,577.86,625.32,"1,682,210,000","9,839,760,000"
2-Nov-17,527.68,610.39,514.52,587.22,"1,632,060,000","8,840,010,000"
1-Nov-17,438.3,538.26,437.91,531.83,"1,152,230,000","7,342,250,000"
31-Oct-17,449.37,454.07,431.76,439.05,"343,799,000","7,527,260,000"
30-Oct-17,458.45,478.42,417.62,448.23,"796,409,000","7,679,000,000"
29-Oct-17,420.47,526.12,408.4,451.92,"2,002,440,000","7,042,260,000"
28-Oct-17,369.54,425.44,369.06,423.35,"781,037,000","6,183,520,000"
27-Oct-17,338.3,372.81,338.24,367.57,"501,989,000","5,655,870,000"
26-Oct-17,332.11,350.94,331.21,338.2,"234,967,000","5,550,700,000"
25-Oct-17,326.59,334.38,320.38,332.13,"151,935,000","5,457,720,000"
24-Oct-17,315.9,340.45,311.48,326.89,"267,442,000","5,278,410,000"
23-Oct-17,330.67,332.28,309.87,315.6,"191,558,000","5,524,790,000"
22-Oct-17,323.5,355.52,323.5,331.66,"355,546,000","5,405,020,000"
21-Oct-17,326.75,328.45,317.46,323.36,"129,938,000","5,458,980,000"
20-Oct-17,330.9,332.98,323.08,327.44,"160,204,000","5,527,860,000"
19-Oct-17,339.27,339.27,326.27,330.81,"195,578,000","5,667,070,000"
18-Oct-17,373.65,376.18,313.77,339.17,"477,184,000","6,240,990,000"
17-Oct-17,313.7,394.96,309.64,371.73,"1,008,160,000","5,239,520,000"
16-Oct-17,315.26,318.02,310.52,313.64,"117,797,000","5,265,400,000"
15-Oct-17,322.42,323.59,307.68,314.95,"133,385,000","5,384,760,000"
14-Oct-17,321.54,327.42,317.35,321.96,"164,137,000","5,369,720,000"
13-Oct-17,314.15,323.08,304.38,321.46,"288,210,000","5,242,630,000"
12-Oct-17,315.47,330.13,310.71,313.21,"262,066,000","5,262,390,000"
11-Oct-17,320.2,321.26,312.13,314.9,"131,577,000","5,341,000,000"
10-Oct-17,313.22,352.02,311.7,321.59,"367,809,000","5,224,170,000"
9-Oct-17,342.76,342.76,289.04,314.16,"288,075,000","5,716,320,000"
8-Oct-17,360.09,362.46,337,342.21,"203,754,000","6,004,940,000"
7-Oct-17,363.6,364.88,356.06,360.78,"91,004,000","6,062,860,000"
6-Oct-17,355.44,371.28,354.96,363.01,"182,031,000","5,926,540,000"
5-Oct-17,358.42,371.19,348.45,355.75,"268,341,000","5,971,260,000"
4-Oct-17,404.2,404.45,354.55,358.45,"251,584,000","6,729,640,000"
3-Oct-17,421.79,421.79,395.74,404.18,"130,247,000","7,022,370,000"
2-Oct-17,415.87,430.86,411.84,421.19,"219,590,000","6,921,580,000"
1-Oct-17,433.38,436.94,415.15,415.15,"164,290,000","7,207,770,000"
30-Sep-17,436.64,445.62,432.53,432.63,"150,565,000","7,258,880,000"
29-Sep-17,447.66,447.92,426.99,436.77,"148,725,000","7,441,960,000"
28-Sep-17,456.71,465.2,433.5,447.81,"300,421,000","7,592,000,000"
27-Sep-17,441.86,460,439.41,457.31,"197,885,000","7,343,490,000"
26-Sep-17,445.36,458.25,441.83,441.83,"165,303,000","7,400,020,000"
25-Sep-17,419.65,450.13,419.65,445.8,"302,272,000","6,971,280,000"
24-Sep-17,428.8,433.04,419.25,421.03,"114,527,000","7,121,950,000"
23-Sep-17,415.31,432.96,407.45,428.5,"189,127,000","6,895,970,000"
22-Sep-17,417.92,435.44,402.77,415.09,"241,905,000","6,937,170,000"
21-Sep-17,475.83,480,413.75,416.26,"316,731,000","7,898,300,000"
20-Sep-17,526.74,527.72,471.09,476.05,"669,264,000","8,741,670,000"
19-Sep-17,480.64,550.41,450.05,527.88,"802,321,000","7,975,010,000"
18-Sep-17,422.09,479.69,422.09,479.32,"458,550,000","7,001,640,000"
17-Sep-17,438.9,438.9,384.06,419.86,"221,828,000","7,279,520,000"
16-Sep-17,424.49,450.98,388.2,440.22,"313,583,000","7,039,590,000"
15-Sep-17,369.49,448.39,301.69,424.02,"707,231,000","6,126,800,000"
14-Sep-17,504.22,510.47,367.04,367.04,"257,431,000","8,359,650,000"
13-Sep-17,509.47,519.2,471.22,503.61,"340,344,000","8,445,540,000"
12-Sep-17,539.03,559.22,505.01,510.41,"273,825,000","8,934,220,000"
11-Sep-17,537.19,556.25,515.67,537.81,"274,712,000","8,902,570,000"
10-Sep-17,546.48,546.75,484.09,537.07,"289,508,000","9,055,430,000"
9-Sep-17,584.73,586.18,539.15,547.47,"234,578,000","9,688,150,000"
8-Sep-17,654.37,687.3,557.5,583.1,"809,763,000","10,840,500,000"
7-Sep-17,636.85,707.98,603.5,652.86,"1,082,380,000","10,548,500,000"
6-Sep-17,541.28,642.69,539.96,638.18,"693,240,000","8,964,700,000"
5-Sep-17,514.9,550.95,458.78,541.71,"338,978,000","8,527,100,000"
4-Sep-17,608.26,608.26,500.75,517.24,"328,957,000","10,072,200,000"
3-Sep-17,578.27,617.41,563.59,607.43,"344,862,000","9,574,520,000"
2-Sep-17,621.96,642.05,560.58,575.9,"350,478,000","10,297,000,000"
1-Sep-17,588.4,645.52,586.73,622.17,"393,839,000","9,740,460,000"
31-Aug-17,576.25,603.69,572.14,588.17,"298,144,000","9,538,750,000"
30-Aug-17,549.32,604.69,535.92,575.21,"443,856,000","9,092,300,000"
29-Aug-17,596.13,599.3,528.32,552.93,"370,017,000","9,866,110,000"
28-Aug-17,619.7,626.88,595.52,596.18,"216,273,000","10,254,800,000"
27-Aug-17,625.89,654.87,589.63,620.9,"402,718,000","10,357,000,000"
26-Aug-17,641.88,646.93,622.36,625.32,"193,414,000","10,616,100,000"
25-Aug-17,627.06,665.41,624.3,641.05,"348,632,000","10,365,600,000"
24-Aug-17,670.03,697.32,617.31,628.11,"407,177,000","11,071,100,000"
23-Aug-17,690.96,715.67,651.32,669.4,"501,983,000","11,416,800,000"
22-Aug-17,596.19,734.88,570.27,690.88,"1,393,260,000","9,844,620,000"
21-Aug-17,723.7,756.59,573.47,599.63,"1,123,400,000","11,943,100,000"
20-Aug-17,772.42,858.96,683.94,712.87,"1,494,020,000","12,742,600,000"
19-Aug-17,697.04,1091.97,625.16,754.56,"3,196,230,000","11,498,100,000"
18-Aug-17,458.67,764.07,458.67,690.24,"3,087,490,000","7,565,590,000"
17-Aug-17,301.02,460.53,293.1,460.53,"744,605,000","4,964,980,000"
16-Aug-17,297.97,307.62,290.21,300.21,"106,436,000","4,914,350,000"
15-Aug-17,298.19,306.52,292.88,297.86,"133,924,000","4,917,480,000"
14-Aug-17,296.1,327.39,293.5,297.68,"174,968,000","4,882,720,000"
13-Aug-17,316.29,317.47,298.05,298.05,"120,722,000","5,215,330,000"
12-Aug-17,327.82,341.85,313.7,317.09,"126,007,000","5,405,200,000"
11-Aug-17,275.88,351.16,275.02,328.24,"233,971,000","4,548,600,000"
10-Aug-17,305.21,311.68,274.68,275.95,"136,637,000","5,031,790,000"
9-Aug-17,345.28,349.32,298.61,303.89,"165,032,000","5,691,960,000"
8-Aug-17,321.35,386.29,309.61,345.49,"274,880,000","5,297,390,000"
7-Aug-17,223.76,373.87,223.76,319.69,"346,546,000","3,688,360,000"
6-Aug-17,212.18,223.7,203.44,220.66,"107,606,000","3,497,290,000"
5-Aug-17,231.11,273.04,200.98,213.15,"144,043,000","3,809,330,000"
4-Aug-17,362.18,386.93,233.05,233.05,"185,038,000","5,969,720,000"
3-Aug-17,448.49,519.28,364.05,364.05,"161,518,000","7,392,030,000"
2-Aug-17,382.38,756.93,309.33,452.66,"416,207,000","6,302,360,000"
1-Aug-17,294.6,426.11,210.38,380.01,"65,988,800",0
31-Jul-17,346.36,347.82,266.19,294.46,"1,075,960",0
30-Jul-17,385.14,385.14,316.25,345.66,"606,695",0
29-Jul-17,410.56,423.73,323.73,384.77,"737,815",0
28-Jul-17,386.65,465.18,217.06,406.05,"1,230,160",0
27-Jul-17,417.1,460.97,367.78,385.48,"533,207",0
26-Jul-17,407.08,486.16,321.79,365.82,"1,784,640",0
