Week,popIndex
2/16/2014,45
2/23/2014,50
3/2/2014,44
3/9/2014,44
3/16/2014,46
3/23/2014,45
3/30/2014,44
4/6/2014,48
4/13/2014,45
4/20/2014,43
4/27/2014,43
5/4/2014,44
5/11/2014,46
5/18/2014,47
5/25/2014,49
6/1/2014,48
6/8/2014,47
6/15/2014,45
6/22/2014,45
6/29/2014,44
7/6/2014,49
7/13/2014,49
7/20/2014,49
7/27/2014,46
8/3/2014,47
8/10/2014,47
8/17/2014,46
8/24/2014,46
8/31/2014,45
9/7/2014,46
9/14/2014,44
9/21/2014,45
9/28/2014,47
10/5/2014,45
10/12/2014,48
10/19/2014,47
10/26/2014,46
11/2/2014,45
11/9/2014,48
11/16/2014,60
11/23/2014,48
11/30/2014,46
12/7/2014,45
12/14/2014,47
12/21/2014,50
12/28/2014,54
1/4/2015,62
1/11/2015,56
1/18/2015,57
1/25/2015,53
2/1/2015,57
2/8/2015,58
2/15/2015,58
2/22/2015,62
3/1/2015,56
3/8/2015,59
3/15/2015,59
3/22/2015,60
3/29/2015,67
4/5/2015,62
4/12/2015,60
4/19/2015,58
4/26/2015,63
5/3/2015,55
5/10/2015,61
5/17/2015,59
5/24/2015,57
5/31/2015,63
6/7/2015,61
6/14/2015,60
6/21/2015,62
6/28/2015,60
7/5/2015,64
7/12/2015,63
7/19/2015,63
7/26/2015,62
8/2/2015,62
8/9/2015,60
8/16/2015,59
8/23/2015,63
8/30/2015,68
9/6/2015,64
9/13/2015,62
9/20/2015,68
9/27/2015,66
10/4/2015,68
10/11/2015,66
10/18/2015,64
10/25/2015,65
11/1/2015,64
11/8/2015,66
11/15/2015,64
11/22/2015,63
11/29/2015,60
12/6/2015,71
12/13/2015,62
12/20/2015,68
12/27/2015,69
1/3/2016,63
1/10/2016,61
1/17/2016,100
1/24/2016,78
1/31/2016,65
2/7/2016,63
2/14/2016,59
2/21/2016,61
2/28/2016,98
3/6/2016,59
3/13/2016,60
3/20/2016,61
3/27/2016,57
4/3/2016,55
4/10/2016,55
4/17/2016,55
4/24/2016,60
5/1/2016,57
5/8/2016,54
5/15/2016,55
5/22/2016,53
5/29/2016,56
6/5/2016,55
6/12/2016,54
6/19/2016,53
6/26/2016,57
7/3/2016,56
7/10/2016,56
7/17/2016,54
7/24/2016,53
7/31/2016,54
8/7/2016,53
8/14/2016,57
8/21/2016,50
8/28/2016,53
9/4/2016,51
9/11/2016,50
9/18/2016,50
9/25/2016,49
10/2/2016,47
10/9/2016,49
10/16/2016,49
10/23/2016,50
10/30/2016,49
11/6/2016,49
11/13/2016,50
11/20/2016,52
11/27/2016,52
12/4/2016,53
12/11/2016,51
12/18/2016,56
12/25/2016,61
1/1/2017,60
1/8/2017,54
1/15/2017,60
1/22/2017,67
1/29/2017,58
2/5/2017,60
2/12/2017,58
2/19/2017,58
2/26/2017,64
3/5/2017,61
3/12/2017,59
3/19/2017,57
3/26/2017,56
4/2/2017,54
4/9/2017,54
4/16/2017,51
4/23/2017,51
4/30/2017,53
5/7/2017,50
5/14/2017,49
5/21/2017,50
5/28/2017,49
6/4/2017,48
6/11/2017,49
6/18/2017,52
6/25/2017,48
7/2/2017,47
7/9/2017,50
7/16/2017,49
7/23/2017,50
7/30/2017,49
8/6/2017,50
8/13/2017,48
8/20/2017,50
8/27/2017,48
9/3/2017,47
9/10/2017,46
9/17/2017,53
9/24/2017,54
10/1/2017,51
10/8/2017,51
10/15/2017,51
10/22/2017,53
10/29/2017,54
11/5/2017,54
