Week,popIndex
7/24/2016,87
7/31/2016,55
8/7/2016,26
8/14/2016,14
8/21/2016,14
8/28/2016,13
9/4/2016,10
9/11/2016,9
9/18/2016,11
9/25/2016,6
10/2/2016,7
10/9/2016,7
10/16/2016,8
10/23/2016,5
10/30/2016,7
11/6/2016,6
11/13/2016,4
11/20/2016,5
11/27/2016,3
12/4/2016,4
12/11/2016,7
12/18/2016,7
12/25/2016,7
1/1/2017,10
1/8/2017,5
1/15/2017,7
1/22/2017,2
1/29/2017,4
2/5/2017,4
2/12/2017,5
2/19/2017,4
2/26/2017,7
3/5/2017,5
3/12/2017,16
3/19/2017,17
3/26/2017,17
4/2/2017,9
4/9/2017,10
4/16/2017,14
4/23/2017,29
4/30/2017,37
5/7/2017,23
5/14/2017,21
5/21/2017,100
5/28/2017,59
6/4/2017,55
6/11/2017,100
6/18/2017,75
6/25/2017,68
7/2/2017,45
7/9/2017,54
7/16/2017,42
7/23/2017,34
7/30/2017,36
8/6/2017,31
8/13/2017,28
8/20/2017,38
8/27/2017,56
9/3/2017,34
9/10/2017,28
9/17/2017,21
9/24/2017,23
10/1/2017,24
10/8/2017,24
10/15/2017,24
10/22/2017,21
10/29/2017,30
11/5/2017,75
