Week,popIndex
6/13/2017,93
6/14/2017,89
6/15/2017,68
6/16/2017,38
6/17/2017,40
6/18/2017,23
6/19/2017,31
6/20/2017,27
6/21/2017,21
6/22/2017,10
6/23/2017,24
6/24/2017,29
6/25/2017,28
6/26/2017,16
6/27/2017,14
6/28/2017,24
6/29/2017,27
6/30/2017,17
7/1/2017,20
7/2/2017,7
7/3/2017,16
7/4/2017,12
7/5/2017,13
7/6/2017,17
7/7/2017,13
7/8/2017,12
7/9/2017,7
7/10/2017,11
7/11/2017,15
7/12/2017,9
7/13/2017,5
7/14/2017,5
7/15/2017,10
7/16/2017,13
7/17/2017,26
7/18/2017,17
7/19/2017,20
7/20/2017,13
7/21/2017,24
7/22/2017,23
7/23/2017,16
7/24/2017,14
7/25/2017,17
7/26/2017,15
7/27/2017,18
7/28/2017,13
7/29/2017,15
7/30/2017,10
7/31/2017,11
8/1/2017,11
8/2/2017,10
8/3/2017,16
8/4/2017,32
8/5/2017,19
8/6/2017,15
8/7/2017,44
8/8/2017,35
8/9/2017,34
8/10/2017,29
8/11/2017,50
8/12/2017,57
8/13/2017,58
8/14/2017,96
8/15/2017,93
8/16/2017,71
8/17/2017,100
8/18/2017,70
8/19/2017,60
8/20/2017,61
8/21/2017,60
8/22/2017,30
8/23/2017,48
8/24/2017,32
8/25/2017,45
8/26/2017,39
8/27/2017,42
8/28/2017,38
8/29/2017,48
8/30/2017,47
8/31/2017,61
9/1/2017,37
9/2/2017,49
9/3/2017,40
9/4/2017,51
9/5/2017,39
9/6/2017,41
9/7/2017,30
9/8/2017,54
9/9/2017,36
9/10/2017,33
9/11/2017,24
9/12/2017,30
9/13/2017,31
9/14/2017,30
9/15/2017,23
9/16/2017,19
9/17/2017,24
9/18/2017,26
9/19/2017,14
9/20/2017,23
9/21/2017,14
9/22/2017,18
9/23/2017,7
9/24/2017,16
9/25/2017,21
9/26/2017,26
9/27/2017,19
9/28/2017,25
9/29/2017,22
9/30/2017,35
10/1/2017,19
10/2/2017,25
10/3/2017,17
10/4/2017,15
10/5/2017,25
10/6/2017,10
10/7/2017,23
10/8/2017,14
10/9/2017,25
10/10/2017,13
10/11/2017,22
10/12/2017,24
10/13/2017,33
10/14/2017,29
10/15/2017,19
10/16/2017,32
10/17/2017,15
10/18/2017,29
10/19/2017,18
10/20/2017,24
10/21/2017,28
10/22/2017,11
10/23/2017,23
10/24/2017,34
10/25/2017,19
10/26/2017,14
10/27/2017,19
10/28/2017,11
10/29/2017,21
10/30/2017,27
10/31/2017,23
11/1/2017,23
11/2/2017,24
11/3/2017,26
11/4/2017,25
11/5/2017,22
11/6/2017,31
11/7/2017,17
