Week,popIndex
4/28/2013,16
5/5/2013,12
5/12/2013,9
5/19/2013,8
5/26/2013,8
6/2/2013,8
6/9/2013,7
6/16/2013,7
6/23/2013,7
6/30/2013,8
7/7/2013,6
7/14/2013,5
7/21/2013,5
7/28/2013,5
8/4/2013,5
8/11/2013,6
8/18/2013,5
8/25/2013,5
9/1/2013,5
9/8/2013,4
9/15/2013,4
9/22/2013,4
9/29/2013,4
10/6/2013,4
10/13/2013,4
10/20/2013,5
10/27/2013,9
11/3/2013,15
11/10/2013,17
11/17/2013,45
11/24/2013,100
12/1/2013,93
12/8/2013,70
12/15/2013,59
12/22/2013,42
12/29/2013,37
1/5/2014,41
1/12/2014,36
1/19/2014,36
1/26/2014,34
2/2/2014,29
2/9/2014,26
2/16/2014,25
2/23/2014,24
3/2/2014,24
3/9/2014,19
3/16/2014,18
3/23/2014,16
3/30/2014,12
4/6/2014,10
4/13/2014,9
4/20/2014,8
4/27/2014,8
5/4/2014,7
5/11/2014,6
5/18/2014,7
5/25/2014,7
6/1/2014,7
6/8/2014,6
6/15/2014,6
6/22/2014,5
6/29/2014,6
7/6/2014,5
7/13/2014,5
7/20/2014,5
7/27/2014,5
8/3/2014,4
8/10/2014,5
8/17/2014,6
8/24/2014,4
8/31/2014,4
9/7/2014,4
9/14/2014,4
9/21/2014,4
9/28/2014,3
10/5/2014,4
10/12/2014,3
10/19/2014,3
10/26/2014,3
11/2/2014,3
11/9/2014,3
11/16/2014,3
11/23/2014,3
11/30/2014,3
12/7/2014,3
12/14/2014,3
12/21/2014,3
12/28/2014,3
1/4/2015,3
1/11/2015,4
1/18/2015,3
1/25/2015,3
2/1/2015,2
2/8/2015,3
2/15/2015,3
2/22/2015,2
3/1/2015,3
3/8/2015,3
3/15/2015,3
3/22/2015,2
3/29/2015,2
4/5/2015,2
4/12/2015,2
4/19/2015,2
4/26/2015,2
5/3/2015,2
5/10/2015,2
5/17/2015,2
5/24/2015,2
5/31/2015,2
6/7/2015,2
6/14/2015,3
6/21/2015,3
6/28/2015,3
7/5/2015,6
7/12/2015,4
7/19/2015,3
7/26/2015,3
8/2/2015,3
8/9/2015,2
8/16/2015,3
8/23/2015,3
8/30/2015,2
9/6/2015,2
9/13/2015,2
9/20/2015,2
9/27/2015,2
10/4/2015,2
10/11/2015,2
10/18/2015,2
10/25/2015,2
11/1/2015,3
11/8/2015,3
11/15/2015,2
11/22/2015,2
11/29/2015,2
12/6/2015,3
12/13/2015,3
12/20/2015,3
12/27/2015,3
1/3/2016,3
1/10/2016,3
1/17/2016,3
1/24/2016,3
1/31/2016,2
2/7/2016,2
2/14/2016,2
2/21/2016,2
2/28/2016,2
3/6/2016,2
3/13/2016,2
3/20/2016,2
3/27/2016,2
4/3/2016,2
4/10/2016,2
4/17/2016,2
4/24/2016,2
5/1/2016,2
5/8/2016,2
5/15/2016,2
5/22/2016,2
5/29/2016,3
6/5/2016,2
6/12/2016,4
6/19/2016,3
6/26/2016,3
7/3/2016,2
7/10/2016,2
7/17/2016,2
7/24/2016,2
7/31/2016,2
8/7/2016,1
8/14/2016,1
8/21/2016,2
8/28/2016,2
9/4/2016,2
9/11/2016,2
9/18/2016,1
9/25/2016,2
10/2/2016,1
10/9/2016,2
10/16/2016,2
10/23/2016,2
10/30/2016,2
11/6/2016,2
11/13/2016,2
11/20/2016,2
11/27/2016,2
12/4/2016,2
12/11/2016,2
12/18/2016,2
12/25/2016,3
1/1/2017,4
1/8/2017,3
1/15/2017,3
1/22/2017,2
1/29/2017,3
2/5/2017,2
2/12/2017,3
2/19/2017,3
2/26/2017,3
3/5/2017,3
3/12/2017,4
3/19/2017,4
3/26/2017,6
4/2/2017,10
4/9/2017,10
4/16/2017,9
4/23/2017,10
4/30/2017,19
5/7/2017,25
5/14/2017,16
5/21/2017,27
5/28/2017,20
6/4/2017,48
6/11/2017,46
6/18/2017,39
6/25/2017,24
7/2/2017,31
7/9/2017,26
7/16/2017,23
7/23/2017,19
7/30/2017,21
8/6/2017,23
8/13/2017,25
8/20/2017,28
8/27/2017,62
9/3/2017,44
9/10/2017,34
9/17/2017,24
9/24/2017,21
10/1/2017,18
10/8/2017,27
10/15/2017,30
10/22/2017,24
10/29/2017,31
11/5/2017,42
