Week,popIndex
8/4/2013,1
8/11/2013,0
8/18/2013,0
8/25/2013,1
9/1/2013,0
9/8/2013,0
9/15/2013,1
9/22/2013,0
9/29/2013,0
10/6/2013,0
10/13/2013,0
10/20/2013,0
10/27/2013,1
11/3/2013,1
11/10/2013,3
11/17/2013,3
11/24/2013,6
12/1/2013,4
12/8/2013,3
12/15/2013,3
12/22/2013,8
12/29/2013,6
1/5/2014,3
1/12/2014,3
1/19/2014,2
1/26/2014,2
2/2/2014,3
2/9/2014,3
2/16/2014,1
2/23/2014,3
3/2/2014,3
3/9/2014,3
3/16/2014,2
3/23/2014,2
3/30/2014,2
4/6/2014,3
4/13/2014,1
4/20/2014,1
4/27/2014,1
5/4/2014,1
5/11/2014,1
5/18/2014,1
5/25/2014,2
6/1/2014,1
6/8/2014,1
6/15/2014,1
6/22/2014,1
6/29/2014,1
7/6/2014,1
7/13/2014,1
7/20/2014,1
7/27/2014,1
8/3/2014,1
8/10/2014,1
8/17/2014,1
8/24/2014,1
8/31/2014,1
9/7/2014,1
9/14/2014,1
9/21/2014,1
9/28/2014,1
10/5/2014,1
10/12/2014,1
10/19/2014,2
10/26/2014,1
11/2/2014,1
11/9/2014,1
11/16/2014,3
11/23/2014,3
11/30/2014,2
12/7/2014,2
12/14/2014,5
12/21/2014,3
12/28/2014,1
1/4/2015,1
1/11/2015,2
1/18/2015,2
1/25/2015,1
2/1/2015,1
2/8/2015,1
2/15/2015,1
2/22/2015,1
3/1/2015,0
3/8/2015,1
3/15/2015,1
3/22/2015,1
3/29/2015,1
4/5/2015,1
4/12/2015,1
4/19/2015,2
4/26/2015,0
5/3/2015,1
5/10/2015,1
5/17/2015,1
5/24/2015,1
5/31/2015,1
6/7/2015,1
6/14/2015,0
6/21/2015,1
6/28/2015,1
7/5/2015,1
7/12/2015,1
7/19/2015,0
7/26/2015,0
8/2/2015,0
8/9/2015,0
8/16/2015,1
8/23/2015,1
8/30/2015,1
9/6/2015,1
9/13/2015,1
9/20/2015,1
9/27/2015,0
10/4/2015,1
10/11/2015,0
10/18/2015,1
10/25/2015,1
11/1/2015,1
11/8/2015,1
11/15/2015,1
11/22/2015,1
11/29/2015,1
12/6/2015,0
12/13/2015,1
12/20/2015,2
12/27/2015,1
1/3/2016,1
1/10/2016,0
1/17/2016,0
1/24/2016,1
1/31/2016,1
2/7/2016,2
2/14/2016,1
2/21/2016,1
2/28/2016,1
3/6/2016,1
3/13/2016,0
3/20/2016,1
3/27/2016,0
4/3/2016,1
4/10/2016,1
4/17/2016,1
4/24/2016,1
5/1/2016,0
5/8/2016,1
5/15/2016,1
5/22/2016,1
5/29/2016,1
6/5/2016,1
6/12/2016,2
6/19/2016,2
6/26/2016,2
7/3/2016,1
7/10/2016,1
7/17/2016,1
7/24/2016,1
7/31/2016,1
8/7/2016,1
8/14/2016,1
8/21/2016,1
8/28/2016,1
9/4/2016,1
9/11/2016,2
9/18/2016,1
9/25/2016,2
10/2/2016,2
10/9/2016,2
10/16/2016,3
10/23/2016,2
10/30/2016,1
11/6/2016,2
11/13/2016,2
11/20/2016,1
11/27/2016,2
12/4/2016,1
12/11/2016,1
12/18/2016,1
12/25/2016,2
1/1/2017,3
1/8/2017,2
1/15/2017,2
1/22/2017,1
1/29/2017,3
2/5/2017,1
2/12/2017,1
2/19/2017,2
2/26/2017,3
3/5/2017,4
3/12/2017,7
3/19/2017,9
3/26/2017,12
4/2/2017,31
4/9/2017,10
4/16/2017,9
4/23/2017,15
4/30/2017,35
5/7/2017,71
5/14/2017,88
5/21/2017,100
5/28/2017,78
6/4/2017,65
6/11/2017,81
6/18/2017,73
6/25/2017,56
7/2/2017,38
7/9/2017,43
7/16/2017,46
7/23/2017,43
7/30/2017,37
8/6/2017,52
8/13/2017,57
8/20/2017,96
8/27/2017,89
9/3/2017,64
9/10/2017,50
9/17/2017,39
9/24/2017,41
10/1/2017,46
10/8/2017,72
10/15/2017,75
10/22/2017,50
10/29/2017,61
11/5/2017,64
